product_id,name,category,unit_price,avg_discount_rate,transaction_count,total_units_sold,regions,source
Product_1,Electronics Product 1,Electronics,0.59,0.1601,110,15323,Asia|Europe|North America,synthetic_ecommerce
Product_10,Toys Product 10,Toys,4.08,0.1565,126,15951,Asia|Europe|North America,synthetic_ecommerce
Product_100,Home Appliances Product 100,Home Appliances,7.65,0.1425,106,13484,Asia|Europe|North America,synthetic_ecommerce
Product_1000,Electronics Product 1000,Electronics,7.31,0.1399,89,12094,Asia|Europe|North America,synthetic_ecommerce
Product_101,Toys Product 101,Toys,1.58,0.1525,102,13366,Asia|Europe|North America,synthetic_ecommerce
Product_102,Home Appliances Product 102,Home Appliances,3.57,0.1611,101,12909,Asia|Europe|North America,synthetic_ecommerce
Product_103,Toys Product 103,Toys,6.25,0.1454,85,11803,Asia|Europe|North America,synthetic_ecommerce
Product_104,Toys Product 104,Toys,4.9,0.1599,92,11905,Asia|Europe|North America,synthetic_ecommerce
Product_105,Electronics Product 105,Electronics,2.97,0.1463,109,14718,Asia|Europe|North America,synthetic_ecommerce
Product_106,Electronics Product 106,Electronics,2.82,0.1529,86,12237,Asia|Europe|North America,synthetic_ecommerce
Product_107,Books Product 107,Books,3.7,0.1547,102,11608,Asia|Europe|North America,synthetic_ecommerce
Product_108,Toys Product 108,Toys,9.21,0.1388,117,15849,Asia|Europe|North America,synthetic_ecommerce
Product_109,Home Appliances Product 109,Home Appliances,2.16,0.1422,93,11275,Asia|Europe|North America,synthetic_ecommerce
Product_11,Books Product 11,Books,9.52,0.143,115,14038,Asia|Europe|North America,synthetic_ecommerce
Product_110,Books Product 110,Books,10.82,0.1618,96,10751,Asia|Europe|North America,synthetic_ecommerce
Product_111,Home Appliances Product 111,Home Appliances,8.39,0.1449,115,13933,Asia|Europe|North America,synthetic_ecommerce
Product_112,Home Appliances Product 112,Home Appliances,1.81,0.1396,98,12154,Asia|Europe|North America,synthetic_ecommerce
Product_113,Clothing Product 113,Clothing,2.71,0.1331,104,14211,Asia|Europe|North America,synthetic_ecommerce
Product_114,Home Appliances Product 114,Home Appliances,3.84,0.1452,103,12889,Asia|Europe|North America,synthetic_ecommerce
Product_115,Home Appliances Product 115,Home Appliances,5.64,0.155,101,12720,Asia|Europe|North America,synthetic_ecommerce
Product_116,Electronics Product 116,Electronics,1.44,0.1476,102,14734,Asia|Europe|North America,synthetic_ecommerce
Product_117,Books Product 117,Books,5.15,0.1628,99,11483,Asia|Europe|North America,synthetic_ecommerce
Product_118,Clothing Product 118,Clothing,3.48,0.1447,109,14174,Asia|Europe|North America,synthetic_ecommerce
Product_119,Clothing Product 119,Clothing,8.4,0.1706,110,13082,Asia|Europe|North America,synthetic_ecommerce
Product_12,Books Product 12,Books,8.24,0.1522,93,11568,Asia|Europe|North America,synthetic_ecommerce
Product_120,Clothing Product 120,Clothing,8.25,0.1472,100,12726,Asia|Europe|North America,synthetic_ecommerce
Product_121,Toys Product 121,Toys,8.06,0.1728,92,12348,Asia|Europe|North America,synthetic_ecommerce
Product_122,Toys Product 122,Toys,5.79,0.1658,107,14197,Asia|Europe|North America,synthetic_ecommerce
Product_123,Books Product 123,Books,5.17,0.159,90,11035,Asia|Europe|North America,synthetic_ecommerce
Product_124,Toys Product 124,Toys,1.2,0.1607,92,11878,Asia|Europe|North America,synthetic_ecommerce
Product_125,Toys Product 125,Toys,8.04,0.1545,102,13691,Asia|Europe|North America,synthetic_ecommerce
Product_126,Books Product 126,Books,3.9,0.1404,106,12393,Asia|Europe|North America,synthetic_ecommerce
Product_127,Clothing Product 127,Clothing,7.01,0.1473,99,12532,Asia|Europe|North America,synthetic_ecommerce
Product_128,Home Appliances Product 128,Home Appliances,8.47,0.1505,101,12104,Asia|Europe|North America,synthetic_ecommerce
Product_129,Electronics Product 129,Electronics,5.3,0.1368,107,15283,Asia|Europe|North America,synthetic_ecommerce
Product_13,Home Appliances Product 13,Home Appliances,0.74,0.1397,87,10974,Asia|Europe|North America,synthetic_ecommerce
Product_130,Books Product 130,Books,8.96,0.1465,99,11198,Asia|Europe|North America,synthetic_ecommerce
Product_131,Clothing Product 131,Clothing,2.15,0.1438,97,12108,Asia|Europe|North America,synthetic_ecommerce
Product_132,Electronics Product 132,Electronics,0.53,0.1432,101,14575,Asia|Europe|North America,synthetic_ecommerce
Product_133,Home Appliances Product 133,Home Appliances,3.18,0.1732,97,11375,Asia|Europe|North America,synthetic_ecommerce
Product_134,Home Appliances Product 134,Home Appliances,6.94,0.1305,99,12123,Asia|Europe|North America,synthetic_ecommerce
Product_135,Electronics Product 135,Electronics,1.42,0.1626,88,12897,Asia|Europe|North America,synthetic_ecommerce
Product_136,Home Appliances Product 136,Home Appliances,6.76,0.158,92,11057,Asia|Europe|North America,synthetic_ecommerce
Product_137,Toys Product 137,Toys,8.81,0.1537,91,12111,Asia|Europe|North America,synthetic_ecommerce
Product_138,Home Appliances Product 138,Home Appliances,7.0,0.1558,99,11536,Asia|Europe|North America,synthetic_ecommerce
Product_139,Clothing Product 139,Clothing,3.09,0.1417,96,12026,Asia|Europe|North America,synthetic_ecommerce
Product_14,Clothing Product 14,Clothing,3.9,0.1526,100,12766,Asia|Europe|North America,synthetic_ecommerce
Product_140,Electronics Product 140,Electronics,3.19,0.1458,106,15030,Asia|Europe|North America,synthetic_ecommerce
Product_141,Home Appliances Product 141,Home Appliances,3.17,0.1246,93,12645,Asia|Europe|North America,synthetic_ecommerce
Product_142,Home Appliances Product 142,Home Appliances,4.14,0.1653,93,10920,Asia|Europe|North America,synthetic_ecommerce
Product_143,Clothing Product 143,Clothing,2.13,0.1649,112,14927,Asia|Europe|North America,synthetic_ecommerce
Product_144,Toys Product 144,Toys,4.53,0.1425,115,16623,Asia|Europe|North America,synthetic_ecommerce
Product_145,Toys Product 145,Toys,5.59,0.1608,97,13264,Asia|Europe|North America,synthetic_ecommerce
Product_146,Home Appliances Product 146,Home Appliances,6.67,0.1649,89,10518,Asia|Europe|North America,synthetic_ecommerce
Product_147,Books Product 147,Books,5.17,0.1502,96,11195,Asia|Europe|North America,synthetic_ecommerce
Product_148,Electronics Product 148,Electronics,5.13,0.1376,91,12410,Asia|Europe|North America,synthetic_ecommerce
Product_149,Home Appliances Product 149,Home Appliances,6.56,0.1696,102,12681,Asia|Europe|North America,synthetic_ecommerce
Product_15,Clothing Product 15,Clothing,1.82,0.1636,94,11593,Asia|Europe|North America,synthetic_ecommerce
Product_150,Toys Product 150,Toys,8.54,0.1434,99,12945,Asia|Europe|North America,synthetic_ecommerce
Product_151,Electronics Product 151,Electronics,4.98,0.1388,107,14793,Asia|Europe|North America,synthetic_ecommerce
Product_152,Toys Product 152,Toys,4.05,0.1697,96,11354,Asia|Europe|North America,synthetic_ecommerce
Product_153,Clothing Product 153,Clothing,3.16,0.1446,90,11372,Asia|Europe|North America,synthetic_ecommerce
Product_154,Electronics Product 154,Electronics,7.91,0.1399,109,16274,Asia|Europe|North America,synthetic_ecommerce
Product_155,Books Product 155,Books,1.93,0.1573,112,13196,Asia|Europe|North America,synthetic_ecommerce
Product_156,Toys Product 156,Toys,1.73,0.1497,109,15532,Asia|Europe|North America,synthetic_ecommerce
Product_157,Home Appliances Product 157,Home Appliances,1.89,0.1591,103,12756,Asia|Europe|North America,synthetic_ecommerce
Product_158,Books Product 158,Books,4.42,0.1524,101,12381,Asia|Europe|North America,synthetic_ecommerce
