order_id,product_id,customer_id,order_date,return_date,product_category,product_price,quantity,return_reason,return_status,days_to_return,payment_method,shipping_method,discount_applied,source
ORD00004704,PROD00004704,USER00004704,2023-01-01,2023-11-27,Electronics,427.52,4,Not as described,Returned,330.0,Credit Card,Express,5.58,synthetic_returns
ORD00005266,PROD00005266,USER00005266,2023-01-01,2024-06-23,Electronics,233.97,3,Wrong item,Returned,539.0,Credit Card,Standard,38.82,synthetic_returns
ORD00009892,PROD00009892,USER00009892,2023-01-01,,Electronics,420.16,2,,Not Returned,,PayPal,Next-Day,37.96,synthetic_returns
ORD00001020,PROD00001020,USER00001020,2023-01-02,,Toys,218.3,2,,Not Returned,,Credit Card,Standard,42.36,synthetic_returns
ORD00006045,PROD00006045,USER00006045,2023-01-02,2024-06-26,Clothing,125.16,1,Changed mind,Returned,541.0,Credit Card,Next-Day,22.16,synthetic_returns
ORD00008313,PROD00008313,USER00008313,2023-01-02,2023-08-19,Electronics,458.99,5,Wrong item,Returned,229.0,Credit Card,Next-Day,39.1,synthetic_returns
ORD00000625,PROD00000625,USER00000625,2023-01-03,2023-08-16,Electronics,332.89,3,Changed mind,Returned,225.0,Credit Card,Next-Day,10.94,synthetic_returns
ORD00004975,PROD00004975,USER00004975,2023-01-03,2024-10-01,Books,288.87,5,Defective,Returned,637.0,Gift Card,Express,3.76,synthetic_returns
ORD00008281,PROD00008281,USER00008281,2023-01-03,2024-04-11,Electronics,68.98,1,Changed mind,Returned,464.0,Credit Card,Express,12.72,synthetic_returns
ORD00003338,PROD00003338,USER00003338,2023-01-04,2024-12-30,Electronics,384.99,2,Not as described,Returned,726.0,PayPal,Standard,16.99,synthetic_returns
ORD00006454,PROD00006454,USER00006454,2023-01-04,2024-02-08,Toys,117.75,1,Changed mind,Returned,400.0,Credit Card,Next-Day,22.68,synthetic_returns
ORD00007578,PROD00007578,USER00007578,2023-01-04,,Toys,290.14,4,,Not Returned,,Debit Card,Standard,48.14,synthetic_returns
ORD00002769,PROD00002769,USER00002769,2023-01-05,,Toys,131.11,1,,Not Returned,,PayPal,Standard,21.41,synthetic_returns
ORD00002233,PROD00002233,USER00002233,2023-01-06,,Electronics,230.32,5,,Not Returned,,Gift Card,Standard,41.92,synthetic_returns
ORD00004354,PROD00004354,USER00004354,2023-01-07,2024-10-27,Toys,351.89,3,Defective,Returned,659.0,Gift Card,Express,38.08,synthetic_returns
ORD00005250,PROD00005250,USER00005250,2023-01-07,2024-08-24,Toys,363.57,2,Not as described,Returned,595.0,PayPal,Next-Day,28.14,synthetic_returns
ORD00007566,PROD00007566,USER00007566,2023-01-07,2023-07-09,Books,158.92,1,Wrong item,Returned,183.0,Debit Card,Standard,11.59,synthetic_returns
ORD00000620,PROD00000620,USER00000620,2023-01-08,2023-03-27,Home,335.17,4,Changed mind,Returned,78.0,PayPal,Express,42.04,synthetic_returns
ORD00006802,PROD00006802,USER00006802,2023-01-08,,Clothing,325.29,5,,Not Returned,,PayPal,Standard,5.45,synthetic_returns
ORD00007078,PROD00007078,USER00007078,2023-01-08,2024-06-21,Clothing,62.06,2,Defective,Returned,530.0,Debit Card,Standard,44.81,synthetic_returns
