shipment_id,warehouse_block,shipment_mode,customer_care_calls,customer_rating,product_cost,prior_purchases,product_importance,customer_gender,discount_offered,weight_grams,is_delayed,source
1,D,Flight,4,2,177,3,low,F,44,1233,1,shipping_data
4,B,Flight,3,3,176,4,medium,M,10,1177,1,shipping_data
9,A,Flight,3,4,150,3,low,F,11,1861,1,shipping_data
11,C,Flight,3,4,189,2,medium,M,12,2888,1,shipping_data
15,A,Flight,4,3,152,3,low,M,43,1009,1,shipping_data
20,F,Ship,4,5,145,3,medium,M,45,1059,1,shipping_data
30,F,Ship,5,4,183,2,low,F,36,3819,1,shipping_data
32,F,Ship,5,3,257,2,low,F,61,3341,1,shipping_data
34,B,Ship,4,2,234,3,medium,M,4,3261,1,shipping_data
36,F,Ship,5,4,149,3,medium,F,44,1811,1,shipping_data
37,D,Ship,3,5,137,4,high,F,62,1477,1,shipping_data
40,B,Ship,4,2,269,5,low,F,45,2383,1,shipping_data
48,F,Ship,5,1,160,2,low,M,32,1576,1,shipping_data
51,A,Ship,4,1,183,3,low,M,37,2042,1,shipping_data
64,B,Ship,3,1,177,3,medium,M,61,1880,1,shipping_data
71,C,Ship,5,1,187,4,high,M,14,3849,1,shipping_data
77,C,Ship,2,3,158,2,medium,F,36,1788,1,shipping_data
81,A,Ship,3,4,180,2,medium,F,49,1942,1,shipping_data
89,C,Ship,3,3,229,3,low,M,49,2339,1,shipping_data
93,A,Ship,4,4,175,2,medium,F,7,1188,1,shipping_data
94,B,Ship,3,3,219,3,medium,F,17,3387,1,shipping_data
96,F,Ship,2,3,235,3,low,M,57,2034,1,shipping_data
97,D,Ship,3,3,149,2,medium,M,18,1225,1,shipping_data
102,F,Ship,5,5,227,4,low,M,53,2624,1,shipping_data
104,F,Ship,5,1,144,4,low,M,37,1658,1,shipping_data
107,C,Ship,3,1,238,3,low,M,17,2624,1,shipping_data
108,F,Ship,4,5,216,3,high,M,26,2053,1,shipping_data
109,D,Ship,4,5,238,3,high,F,55,3257,1,shipping_data
120,F,Road,5,1,145,3,low,M,20,1387,1,shipping_data
132,F,Road,3,4,144,3,low,M,50,1865,1,shipping_data
136,B,Flight,3,5,157,3,medium,F,4,1889,1,shipping_data
145,D,Flight,2,1,158,3,medium,F,51,1540,1,shipping_data
150,F,Flight,5,1,149,3,low,M,40,1062,1,shipping_data
168,F,Ship,4,5,152,3,low,M,43,1709,1,shipping_data
170,F,Ship,4,3,161,3,medium,F,28,1809,1,shipping_data
174,F,Ship,3,2,270,3,low,F,63,2751,1,shipping_data
186,F,Ship,3,2,209,3,medium,M,54,3001,1,shipping_data
211,D,Ship,2,1,127,3,low,F,15,1522,1,shipping_data
215,C,Ship,2,4,129,3,low,F,48,1219,1,shipping_data
217,D,Ship,4,3,185,3,medium,M,3,3131,1,shipping_data
218,F,Ship,4,4,176,4,high,F,63,1293,1,shipping_data
219,A,Ship,3,4,148,3,low,M,37,1523,1,shipping_data
246,F,Ship,2,4,154,3,medium,F,48,7684,1,shipping_data
249,A,Road,2,2,134,3,low,F,38,1530,1,shipping_data
252,F,Road,2,2,145,3,medium,F,5,6102,1,shipping_data
260,F,Road,2,4,147,3,low,M,5,1920,1,shipping_data
264,F,Road,3,2,226,2,medium,M,45,1446,1,shipping_data
266,F,Road,7,2,203,5,medium,F,61,1856,1,shipping_data
268,B,Road,4,1,258,3,medium,M,36,2211,1,shipping_data
275,C,Flight,3,5,229,6,medium,M,22,2717,1,shipping_data
287,C,Flight,5,3,234,2,low,F,55,3308,1,shipping_data
289,D,Flight,5,5,156,2,low,M,44,1561,1,shipping_data
291,A,Flight,4,4,270,3,low,M,12,3279,1,shipping_data
292,B,Ship,4,1,206,3,medium,M,23,3807,1,shipping_data
294,F,Ship,3,2,136,4,low,M,62,1090,1,shipping_data
296,F,Ship,3,1,202,2,medium,M,62,3398,1,shipping_data
304,B,Ship,4,3,222,2,medium,M,55,3833,1,shipping_data
305,C,Ship,3,2,183,4,medium,F,12,2777,1,shipping_data
